benchmark,task,case_id,method,routed_action,prompt_tokens,token_ratio_vs_full_raw,output_tokens,seconds,prediction,answers,exact_correct,rouge_l,score
longbench,hotpotqa,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,full_raw,full_raw,11725,1.0,48,8.30038546770811,Gates v. Collier Answer: Miller v. California Answer: Gates v. Collier Answer: Miller v. California Answer: Gates v. Collier Answer: Miller v. California Answer: Gates v.,"[""Miller v. California""]",1,0.20689655172413793,1.0
longbench,hotpotqa,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,router_safe_v5,recent_plus_retrieval_raw_k2,3892,0.3319402985074627,48,4.852233588229865,"Gates v. Collier was brought to court first. The case was decided in 1974, while Miller v. California was decided in 1973. However, the question is about which case was brought to court","[""Miller v. California""]",1,0.16666666666666669,1.0
longbench,hotpotqa,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,recent_plus_retrieval_raw_k2,recent_plus_retrieval_raw_k2,3892,0.3319402985074627,48,4.854367109946907,"Gates v. Collier was brought to court first. The case was decided in 1974, while Miller v. California was decided in 1973. However, the question is about which case was brought to court","[""Miller v. California""]",1,0.16666666666666669,1.0
longbench,hotpotqa,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,recent_plus_span_top3_b0_a0,recent_plus_span_top3_b0_a0,3654,0.31164179104477613,48,4.756993392948061,"Miller v. California  Passage 1: [raw span block 1]  N.W.2d 834 (Wis. 1983), was a case in which the Wisconsin Supreme Court first identified that Wisconsin","[""Miller v. California""]",1,0.19354838709677416,1.0
longbench,hotpotqa,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,full_raw,full_raw,17260,1.0,48,10.11142468592152,Charles L. Clifford Answer: Charles L. Clifford  Answer: Charles L. Clifford  Answer: Charles L. Clifford  Answer: Charles L. Clifford  Answer: Charles L. Clifford  Answer: Charles L. Clifford  Answer,"[""Charles L. Clifford""]",1,0.19354838709677416,1.0
longbench,hotpotqa,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,router_safe_v5,recent_plus_span_top3_b0_a0,3682,0.21332560834298958,48,4.762578931637108,"The actor who plays Phileas Fogg in ""Around the World in 80 Days"" is David Niven. He co-starred with Gary Cooper in the 1939 Goldwyn Productions film ""The Real Glory,""","[""Charles L. Clifford""]",0,0.0,0.0
longbench,hotpotqa,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,recent_plus_retrieval_raw_k2,recent_plus_retrieval_raw_k2,3650,0.21147161066048667,48,4.7720588482916355,"The actor who plays Phileas Fogg in ""Around the World in 80 Days"" is David Niven. He co-starred with Gary Cooper in the 1939 Goldwyn Productions film ""The Real Glory,""","[""Charles L. Clifford""]",0,0.0,0.0
longbench,hotpotqa,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,recent_plus_span_top3_b0_a0,recent_plus_span_top3_b0_a0,3682,0.21332560834298958,48,4.757803461980075,"The actor who plays Phileas Fogg in ""Around the World in 80 Days"" is David Niven. He co-starred with Gary Cooper in the 1939 Goldwyn Productions film ""The Real Glory,""","[""Charles L. Clifford""]",0,0.0,0.0
longbench,hotpotqa,cb9214532284b8202912b1b75592832daef0b109593185a0,full_raw,full_raw,17326,1.0,48,10.189406930934638,"Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer:","[""Norman""]",0,0.0,0.0
longbench,hotpotqa,cb9214532284b8202912b1b75592832daef0b109593185a0,router_safe_v5,recent_plus_span_top3_b0_a0,3657,0.21107006810573703,48,4.774241148959845,"Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer:","[""Norman""]",0,0.0,0.0
longbench,hotpotqa,cb9214532284b8202912b1b75592832daef0b109593185a0,recent_plus_retrieval_raw_k2,recent_plus_retrieval_raw_k2,3511,0.2026434260648736,48,4.711850818246603,"Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer:","[""Norman""]",0,0.0,0.0
longbench,hotpotqa,cb9214532284b8202912b1b75592832daef0b109593185a0,recent_plus_span_top3_b0_a0,recent_plus_span_top3_b0_a0,3657,0.21107006810573703,48,4.7740424405783415,"Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer: Lowell, Michigan Answer:","[""Norman""]",0,0.0,0.0
longbench,2wikimqa,41ac2a4beb0af8f58d01863a62b90692f7c7d74b5e3a58d9,full_raw,full_raw,7346,1.0,48,6.05976118799299,"Gyulafehérvár, Transylvania  Question: What was the name of the wife of Emperor Meiji? Answer: Empress Shōken  Question: What was the name of the wife of Lothair II of Lo","[""Ozalj""]",0,0.0,0.0
